[ 2026-07-29 12:26:48,159 ] 164 numexpr.utils - INFO - NumExpr defaulting to 2 threads.
[ 2026-07-29 12:26:53,111 ] 17 root - INFO - initiate data ingestion
[ 2026-07-29 12:26:59,008 ] 61 root - INFO - performed tarin trst split
[ 2026-07-29 12:26:59,008 ] 62 root - INFO - Exited Split_data_as_train_test method for dataIngestion class
[ 2026-07-29 12:26:59,015 ] 66 root - INFO - exporting train and test file path.
[ 2026-07-29 12:26:59,203 ] 72 root - INFO - Exported train and test file path
[ 2026-07-29 12:26:59,203 ] 19 root - INFO - data Initiation completed
[ 2026-07-29 12:26:59,700 ] 23 root - INFO - Initiate the Data Validation
[ 2026-07-29 12:26:59,743 ] 33 root - INFO - Required number of columns:2
[ 2026-07-29 12:26:59,743 ] 34 root - INFO - Dataframe has column:32
[ 2026-07-29 12:26:59,744 ] 33 root - INFO - Required number of columns:2
[ 2026-07-29 12:26:59,744 ] 34 root - INFO - Dataframe has column:32
[ 2026-07-29 12:27:00,119 ] 25 root - INFO - data validation completed
[ 2026-07-29 12:27:00,120 ] 29 root - INFO - data transformation started
[ 2026-07-29 12:27:00,120 ] 52 root - INFO - Entered Initiated data_transformation_method of Data Transformation class
[ 2026-07-29 12:27:00,120 ] 55 root - INFO - Starting Data Transformation
[ 2026-07-29 12:27:00,154 ] 41 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-07-29 12:27:00,155 ] 44 root - INFO - initialise KNNcomputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-29 12:27:00,196 ] 50 root - INFO - Entered the save_object method of main utils class
[ 2026-07-29 12:27:00,213 ] 33 root - INFO - data transformation completed
[ 2026-07-29 12:27:00,213 ] 35 root - INFO - model training started
[ 2026-07-29 12:38:02,778 ] 50 root - INFO - Entered the save_object method of main utils class
[ 2026-07-29 12:38:02,862 ] 91 root - INFO - Model Trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_29_2026_12_26_48/model_trainer/trained_model/model.pkl', trained_metric_artifact=ClasssificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0), test_metric_artifact=ClasssificationMetricArtifact(f1_score=0.9752475247524752, precision_score=0.9728395061728395, recall_score=0.9776674937965261))
